weekdayRate,ppCode,ppName,sunPHRate
$0.60,P0013,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,$0.60
$1.20,P0015,PRINSEP STREET (MIDDLE/ROCHOR CANAL),$0.60
$0.60,P0015,PRINSEP STREET (MIDDLE/ROCHOR CANAL),$0.60
$1.20,P0018,PURVIS STREET ,$0.60
$0.60,P0018,PURVIS STREET ,$0.60
$0.60,P0023,PLUMER ROAD ,$0.60
$0.60,P0028,PROME ROAD ,$0.60
$0.60,P0033,PASIR RIS CLOSE OFF STREET,$0.60
$0.60,P0033,PASIR RIS CLOSE OFF STREET,$0.60
$0.60,P0048,PEARL BANK OFF STREET ,$0.60
$0.60,P0048,PEARL BANK OFF STREET ,$0.60
$0.60,P0051,PENHAS ROAD ,$0.60
$0.60,P0054,PASIR PANJANG FOOD CENTRE OFF STREET,$0.60
$0.60,P0054,PASIR PANJANG FOOD CENTRE OFF STREET,$0.60
$0.60,P0055,PETAIN ROAD (JALAN BESAR / TYRWHITT ROAD),$0.60
$0.60,P0072,PENNEFATHER ROAD ,$0.60
$0.60,P0075,PENHAS ROAD / LAVENDER STREET OFF STREET,$0.60
$0.60,P0075,PENHAS ROAD / LAVENDER STREET OFF STREET,$0.60
$0.60,P0078,PANDAN CRESCENT ,$0.60
$0.60,P0078,PANDAN CRESCENT ,$0.60
$0.60,P0086,PANDAN LOOP ,$0.60
$0.60,P0093,PASIR PANJANG ROAD OFF  STREET,$0.60
$0.60,P0093,PASIR PANJANG ROAD OFF  STREET,$0.60
$0.60,P0094,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,$0.60
$0.60,P0094,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,$0.60
$1.20,P0096,PENANG ROAD OFF STREET ,$0.70
$0.70,P0096,PENANG ROAD OFF STREET ,$0.70
$0.70,P0096,PENANG ROAD OFF STREET ,$0.70
$0.60,P0106,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,$0.60
$0.60,P0106,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,$0.60
$0.60,P0109,PASIR RIS PARK CAR PARK E OFF STREET,$0.60
$0.60,P0109,PASIR RIS PARK CAR PARK E OFF STREET,$0.60
$0.60,P0111,PAHANG STREET OFF STREET,$0.60
$0.75,P0111,PAHANG STREET OFF STREET,$0.75
$0.60,P0111,PAHANG STREET OFF STREET,$0.60
$0.60,P0111,PAHANG STREET OFF STREET,$0.60
$0.60,P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,$0.60
$0.60,P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,$0.60
$0.60,P0116,PRINCE PHILIP AVENUE ,$0.60
$0.60,P0116,PRINCE PHILIP AVENUE ,$0.60
$1.20,P0117,PECK SEAH STREET OFF STREET,$0.60
